,generation,species,fitness,survived,mean_fitness
173,2,2,8.0,True,19.041666666666657
174,2,1,9.0,True,8.600000000000001
175,2,2,9.0,False,19.041666666666657
176,2,2,15.0,True,19.041666666666657
177,2,2,11.0,True,19.041666666666657
178,2,2,8.0,True,19.041666666666657
179,2,2,71.0,True,19.041666666666657
180,2,2,0.0,True,19.041666666666657
181,2,2,36.0,True,19.041666666666657
182,2,2,8.0,True,19.041666666666657
183,2,2,0.0,False,19.041666666666657
184,2,2,9.0,False,19.041666666666657
185,2,2,9.0,True,19.041666666666657
186,2,2,8.0,False,19.041666666666657
187,2,2,22.0,True,19.041666666666657
188,2,2,8.0,True,19.041666666666657
189,2,2,7.0,False,19.041666666666657
190,2,2,52.0,True,19.041666666666657
191,2,2,0.0,True,19.041666666666657
192,2,2,8.0,False,19.041666666666657
193,2,2,7.0,False,19.041666666666657
194,2,2,0.0,False,19.041666666666657
195,2,2,28.0,False,19.041666666666657
196,2,2,29.0,True,19.041666666666657
197,2,2,0.0,False,19.041666666666657
198,2,2,61.0,True,19.041666666666657
199,2,2,84.0,True,19.041666666666657
200,2,2,0.0,True,19.041666666666657
201,2,2,8.0,False,19.041666666666657
202,2,2,7.0,False,19.041666666666657
203,2,5,9.0,False,9.0
204,2,2,8.0,False,19.041666666666657
205,2,2,8.0,True,19.041666666666657
206,2,2,8.0,True,19.041666666666657
207,2,2,0.0,False,19.041666666666657
208,2,2,9.0,True,19.041666666666657
209,2,2,10.0,True,19.041666666666657
210,2,2,8.0,True,19.041666666666657
211,2,2,9.0,False,19.041666666666657
212,2,2,64.0,True,19.041666666666657
213,2,2,22.0,False,19.041666666666657
214,2,2,88.0,True,19.041666666666657
215,2,2,10.0,True,19.041666666666657
216,2,2,7.0,True,19.041666666666657
217,2,2,7.0,True,19.041666666666657
218,2,2,9.0,True,19.041666666666657
219,2,2,71.0,True,19.041666666666657
220,2,1,8.0,True,8.600000000000001
221,2,2,9.0,True,19.041666666666657
222,2,2,33.0,True,19.041666666666657
223,2,1,9.0,True,8.600000000000001
224,2,3,9.0,True,9.0
225,2,2,8.0,True,19.041666666666657
226,2,2,7.0,True,19.041666666666657
227,2,2,29.0,True,19.041666666666657
228,2,2,8.0,False,19.041666666666657
229,2,2,43.0,True,19.041666666666657
230,2,2,7.0,False,19.041666666666657
231,2,2,8.0,False,19.041666666666657
232,2,2,60.0,True,19.041666666666657
233,2,2,8.0,True,19.041666666666657
234,2,2,9.0,True,19.041666666666657
235,2,2,7.0,False,19.041666666666657
236,2,2,8.0,True,19.041666666666657
237,2,2,59.0,True,19.041666666666657
238,2,2,9.0,True,19.041666666666657
239,2,2,8.0,True,19.041666666666657
240,3,2,0.0,True,25.57333333333332
241,3,2,9.0,True,25.57333333333332
